商品名称,店铺,评论数,价格
【Magsafe磁吸】超甲度 苹果12ProMax手机壳iPhone12Mini保护套真皮全包防摔壳 苹果Pro Max【海军蓝·带标】皮革磁吸壳 官网magsafe原款,超甲度官方旗舰店,100+,288.00
【当天发货】苹果12手机Apple iPhone 12 (A2404)移动联通电信5G 双卡双待 绿色【8GB】 官方标配,博恒聚优手机专营店,1,6449.00
【24期分期白条免息】Apple 苹果 iPhone 11（A2223）苹果12期免息 绿色 128GB,牧申手机旗舰店,2000+,5159.00
Apple iPhone 12 Pro (A2408) 支持移动联通电信5G 双卡双待手机 海蓝色 128G(套餐二：送原装20W闪充套装),Apple嘉世优品专卖店,57,8499.00
东来也 苹果12手机壳iPhone12promax国潮5g轻薄mini皮纹硅胶创意全包防摔 苹果promax 国潮花旦【皮纹壳】,东来也数码旗舰店,100+,68.00
【白条12期分期免息】Apple 苹果 iPhone 11 手机 全网通 双卡双待 白色 128G 新包装（期免息）,京东电竞手机官方旗舰店,4000+,5459.00
【12期免息】Apple 苹果11/iPhone11 手机 绿色 128G+白条6期分期免息0首付,华信通手机专营店,3000+,5499.00
Apple 苹果 iPhone 12 Pro全网通超清三摄长续航5G国行双卡双待手机 石墨色 256G,Apple爱豆专卖店,3,9799.00
瑞壳 iPhone12Pro max手机壳中国风潮苹果12mini保护套吉祥新年富贵腕带男女后外壳 苹果ProMax(6.7英寸)富贵腕带,瑞壳旗舰店,26,198.00
壳工坊 仙女闪粉苹果12pro手机壳iPhone12Pro Max全包防摔软壳网红女款保护套后外壳 透明【 proMax 6.7英寸】,壳工坊旗舰店,60,198.00
Apple 苹果 iPhone 11 双卡双待手机 黑色 【白条12期免息】128G简配,聚捷联盛手机旗舰店,3万+,5599.00
Apple iPhone 12 Pro (A2408) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,四川电信京东自营旗舰店,16,8499.00
"拍拍
Apple iPhone 苹果12 Pro Max 二手手机 支持移动联通电信 石墨色 128GB",拍拍严选官方旗舰店,300+,8439.00
Apple 苹果 iPhone12全网通超清双摄长续航5G国行双卡双待手机 绿色 256G,Apple爱豆专卖店,0,7899.00
畅动 苹果12手机壳透明iPhone11promax保护套卡通可爱简约mini软壳防摔女款网红小红花 苹果12/12pro【6.1英寸-彩色小花】,畅动旗舰店,27,78.00
【白条免息】Apple 苹果 iPhone 12 5G手机 分期 蓝色 128GB（12期免息）,臻火旗舰店,900+,7599.00
Apple苹果原装无线充电器MagSafe磁吸15W充电器iPhone12 pro max mini 15W无线充电器+20W充电头,大商无算数码专营店,1000+,448.00
BASIKE 苹果快充套装PD20W充电器头数据线18W通用iPhone12Pro/11/max手机 【PD20w快充头】+PD快充数据线1.28米,百仕奇旗舰店,100+,75.00
绿联无线充电器7.5W快充适用iPhone12/X/8/SE2苹果11Pro华为三星手机AirPod 白色【简约款-不带充电头】,绿联联志专卖店,200+,49.00
Apple 苹果 iPhone 12 Pro (A2408) 海蓝色 256GB,易橙手机专营店,16,9289.00
Apple iPhone苹果11【12期免息可选】手机 黑色 全网通 128GB,京联通达旗舰店,1万+,4999.00
AMLLSYE 苹果12PD充电器20W快充头套装双口iphone11手机磁吸无线充数据线国行版加长 国行版【20W快充套装】快充头+1米PD线,AMLLSYE官方旗舰店,1000+,78.00
奔创 苹果12手机壳iPhone12pro/max液态硅胶保护套mini简约全包防摔枫叶个性男女软壳 苹果【薰衣灰-枫叶】,迈普利手机配件专营店,11,28.00
【苹果12期分期0首付】Apple 苹果 iPhone 11 全网通4G手机 双卡双待【新包装】 白色 128GB,茄子手机旗舰店,2000+,4998.00
绿联苹果快充套装PD20W充电器18W充电头数据线适用iPhone12/11/SE2/XR/XS手机 【新升级】PD20W充电器,绿联三顺专卖店,300+,35.80
【白条12期分期免息】Apple 苹果 iPhone 12 移动联通电信5G 双卡双待手机 绿色 128G（期免息）,京东电竞手机官方旗舰店,200+,7159.00
万人迷可爱立体趴趴鸭子适用11Pro/Max苹果12手机壳mini硅胶XSMAX软壳X网 苹果11 相框小蛮腰 蓝底贴片正脸帽子鸭,悠哉数码专营店,2,33.04
Apple iPhone 12 (A2404) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,浙江电信京东自营旗舰店,15,6799.00
Apple/苹果 iPhone 12 Pro Max 全网通5G手机 海蓝色 全网通 512G,酷族数码旗舰店,500+,11398.00
Apple 苹果 iPhone 11 移动联通电信4G手机 双卡双待 黑色 128GB 【新包装】,茄子手机旗舰店,4万+,4988.00
Apple iPhone 12 Pro (A2408) 移动联通电信5G 双卡双待手机 银色 256G（官方标配）,Apple晨星泰合专卖店,1000+,9039.00
苹果（Apple）iPhone 12 (A2404) 128GB 黑色 全网通5G 双卡双待手机,联通京东自营旗舰店,11,6799.00
【镜头全包】苹果11手机壳iphone11promax保护套超薄防摔液态硅胶玻璃男女款秒变岚兮冉 苹果11【蓝灰色】升级经典直边+镜头保护+配钢化膜,笑源手机配件专营店,3000+,39.00
苹果 Apple iPhone 12 Pro (A2408) 5G 手机 全网通 双卡双待 石墨色 256G,头号卖家旗舰店,200+,9499.00
苹果（Apple）iPhone 12 (A2404) 128GB 绿色 全网通5G 双卡双待手机,联通京东自营旗舰店,13,6799.00
AUKEY傲基苹果快充PD充电器18W单口充电头适用iPhone8/XR/12/11系列手机 F1-18W白色,AUKEY官方旗舰店,200+,59.00
苹果（Apple）iPhone 12 mini 128GB 红色 全网通5G手机,联通京东自营旗舰店,2,5999.00
Apple iPhone 12 (A2404) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,河南电信京东自营旗舰店,100+,6799.00
万人迷简约透明适用苹果11手机壳iphone12/XR超火SE2情侣7/8plus少女心XS男Pro 苹果 白边,悠哉数码专营店,0,15.84
Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,中国移动官方旗舰店,300+,6799.00
Apple iPhone 12 Pro (A2408) 128GB 金色 支持移动联通电信5G 双卡双待手机,中国移动官方旗舰店,200+,8499.00
"京东超市
7恋 苹果快充套装PD20W/18W充电器充电头iPhone12/11/SE2/XR/XS/8P手机 20W PD快充充电器【两年质保】",博尔美数码专营店,25,37.70
Apple iPhone 12 mini 手机 支持移动联通电信5G 黑色 64G(官网标配),Apple嘉世优品专卖店,14,5189.00
苹果充电器头数据线手机快充插头原套装iphonexs/11/7p/8plus/xr/12/6s,乐服手机旗舰店,100+,96.00
"拍拍
Apple iPhone 11 苹果11手机 二手手机 紫色 128G",拍拍严选官方旗舰店,2万+,4149.00
苹果（Apple）iPhone 12 (A2404) 128GB 红色 全网通5G 双卡双待手机,联通京东自营旗舰店,11,6799.00
Apple 苹果iPhone 12 mini 5G 全网通手机 绿色 64GB,茄子手机配件专营店,4,5499.00
【24期分期免息白条】Apple 苹果 iPhone 12（A2404）全网通 5G手机 白色 128G(期免息),牧申手机旗舰店,100+,7199.00
万人迷原创奶茶熊适用于苹果12手机壳女款11Promax手机套x个性创意xr网红xsmax卡通苹果7 苹果11【直边液态侧边-多只奶茶熊】,悠哉数码专营店,9,38.64
苹果（Apple）iPhone 12 Pro Max (A2412) 256GB 海蓝色 全网通5G 双卡双待手机,联通京东自营旗舰店,11,10099.00
苹果（Apple）iPhone 12 mini 64GB 黑色 全网通5G手机,联通京东自营旗舰店,1,5499.00
"京东超市
纯孩子 苹果充电器快充头PD套装20W兼容18w手机数据线适用12/11/XR/8/7 PD20W+1米PD线套装【安全快速稳定】",纯孩子官方旗舰店,100+,59.90
"京东国际
Apple 苹果 iPhone 12 Pro/Pro Max 手机日版 5G全网通无锁 iphone12 Pro Max石墨色 256G",楽天海外官方旗舰店,2000+,12999.00
Apple 苹果 iPhone 12 移动联通电信5G 双卡双待手机 绿色 128GB,京东电竞手机官方旗舰店,200+,6439.00
普仕邦 苹果12手机壳磁吸iphone12promax镜头全包防摔保护套双面玻璃mini直边 苹果Pro Max【深海蓝】镜头全包,普仕邦官方旗舰店,100+,698.00
万人迷侧边卡通透明适用iphone12pro max苹果11手机壳x/xs防摔8plus女xr 苹果,悠哉数码专营店,21,32.40
"京品手机
Apple iPhone XR (A2108) 128GB 白色 移动联通电信4G手机 双卡双待【购机补贴版】",Apple产品京东自营旗舰店,40万+,4499.00
苹果Apple iPhone 12 Pro Max (A2412) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,贵州移动京东自营旗舰店,9,9299.00
英悦2021新年iPhone12手机壳苹果12Pro Max牛年Mini本命年液态硅胶女男喜庆过年套 苹果【牛气冲天·红】直边壳+指环扣,考尚手机配件专营店,200+,29.80
Apple 苹果 iPhone 12 mini 128GB 黑色 5G 手机,上海移动京东官方自营旗舰店,73,5999.00
Apple 苹果 iPhone 12 全网通5G手机（12期免息可选） 绿色 64G 6期免息,OKSJ手机旗舰店,200+,6599.00
多兰德苹果12手机壳iPhone12pro翻盖多功能插卡保护套12ProMaX车载磁吸皮套全包防摔 苹果ProMax（6.7英寸）棕色,华青手机配件专营店,20,89.00
苹果（Apple）iPhone 12 mini 128GB 白色 全网通5G手机,联通京东自营旗舰店,1,5999.00
苹果（Apple）iPhone 12 (A2404) 64GB 黑色 全网通5G 双卡双待手机,联通京东自营旗舰店,4,6299.00
耐度 苹果12手机壳防摔iPhone12pro保护镜头全包带指环支架防摔保护套promax男女款外壳 6.7寸苹果promax 黑色,耐度数码旗舰店,26,208.00
苹果（Apple）iPhone 12 mini (A2400) 128GB 蓝色 全网通5G手机,联通京东自营旗舰店,6,5999.00
【24期免息】Apple 苹果 iPhone 12 mini 5G手机 黑色 全网通 128GB+无忧卡 2年电池换新+1年延保,佳沪电商旗舰店,100+,6649.00
Belkin贝尔金30WGaN氮化镓充电器插头Usb-C苹果iphone12安卓兼容PD3.0快充 30W USB-C充电器,贝尔金belkin旗舰店,100+,228.00
苹果（Apple）iPhone 12 mini 64GB 蓝色 全网通5G手机,联通京东自营旗舰店,1,5499.00
苹果（Apple）iPhone 12 (A2404) 64GB 红色 全网通5G 双卡双待手机,联通京东自营旗舰店,1,6299.00
特雷索 适用于苹果12手机壳全包防摔Alcantara欧缔兰翻毛皮iPhone 12 Pro 苹果Pro Max(6.7寸)(克罗心),特雷索官方旗舰店,21,699.00
苹果（Apple）iPhone 12 mini (A2400) 64GB 蓝色 全网通5G手机,联通京东自营旗舰店,4,5499.00
Apple 苹果 iphone SE2 (A2298) 手机 黑色 全网通64G（12期分期0首付）,疆界互联旗舰店,4000+,3539.00
希娜塔 苹果12手机壳磨砂iphone12pro保护套max透明全包12mini超薄防摔套 Pro 透黑,希娜塔旗舰店,300+,198.00
苹果（Apple）iPhone 12 mini (A2400) 128GB 白色 全网通5G手机,联通京东自营旗舰店,6,5999.00
苹果（Apple）iPhone 12 (A2404) 256GB 绿色 全网通5G 双卡双待手机,联通京东自营旗舰店,5,7599.00
曼尔 苹果12Pro手机壳超薄5G素皮商务皮套防摔mini时尚男女iPhone12Promax保护套 苹果Pro-青山黛,曼尔旗舰店,100+,268.00
Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,湖南电信官方自营旗舰店,22,6799.00
千思美 苹果12手机壳12pro新款彩绘液态硅胶12promax直边全包防摔mini个性创意水彩软壳 苹果【春樱色】官方同款水彩,千思美旗舰店,40,27.00
Apple苹果iPhone 12 5G全网通双卡手机 黑色 128GB,四川联通京东自营旗舰店,25,6799.00
Zikko即刻 苹果PD20W充电器 双口快充头适用iPhone12/SE2/11Pro/Xs/手机 1A1C双口 PD20W充电头 白色,Zikko即刻旗舰店,100+,199.00
苹果（Apple）iPhone 12 mini (A2400) 64GB 黑色 全网通5G手机,联通京东自营旗舰店,1,5499.00
Apple iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机,中国联通京东自营旗舰店,500+,6299.00
正尼苹果12手机壳潮牌熊11Pro全包防摔11腕带支架XSMAX硅胶壳12Promax创意11Pro 苹果Promax【白色+公仔+挂绳】-送钢化膜,哲迈手机配件专营店,24,141.00
Apple苹果iPhone 12 5G全网通双卡手机 黑色 128GB,贵州移动京东自营旗舰店,9,6799.00
苹果（Apple）iPhone 12 mini 256GB 蓝色 全网通5G手机,联通京东自营旗舰店,0,6799.00
viks 苹果11秒变12手机壳iphone11pro双面玻璃磁吸透明max金属直边摄像头全包防摔新 用于苹果11promax秒变promax-墨绿,viks旗舰店,100+,108.00
"京东国际
Apple iPhone12苹果12 移动联通电信5G（美版有锁）全面屏手机智能手机 红色 美版有锁移动联通电信64GB",东源海外专营店,900+,4999.00
苹果（Apple）iPhone 12 mini (A2400) 128GB 红色 全网通5G手机,联通京东自营旗舰店,5,5999.00
美国TGVI'S锋锐高档苹果12mini/Pro Max手机壳iPhone保护套抗震防摔散热轻薄 骑士白 12/12 Pro,TGVI'S手机配件旗舰店,100+,118.00
苹果（Apple）iPhone 12 (A2404) 64GB 白色 全网通5G 双卡双待手机,联通京东自营旗舰店,4,6299.00
苹果（Apple）iPhone 12 (A2404) 128GB 蓝色 全网通5G 双卡双待手机,联通京东自营旗舰店,4,6799.00
苹果12手机壳iphone12全包防摔11pro网红max保护套涂鸦promax潮mini水彩油画 苹果【水彩雅白】抗油防污,天骏手机配件专营店,200+,58.00
苹果（Apple）iPhone 12 mini (A2400) 128GB 黑色 全网通5G手机,联通京东自营旗舰店,7,5999.00
苹果（Apple）iPhone 12 mini (A2400) 256GB 绿色 全网通5G手机,联通京东自营旗舰店,6,6799.00
Apple苹果12充电器原装20Wpd快充数据线充电头iphone12promax11适配器 20W充电头 白色【单头不含线】,京迈数码配件专营店,55,145.00
苹果（Apple）iPhone 12 mini 64GB 红色 5G手机,联通京东自营旗舰店,0,5499.00
【赠卡首月免月租】Apple iPhone 12 mini (A2400) 64GB 红色 手机 支持移动联通电信5G,中国移动终端京东自营旗舰店,65,5499.00
九尾熊适用于苹果11手机壳iPhone11pro摄像头全包苹果12网红xsmax闪钻se2硅胶防摔软 苹果promax（6.7寸）【点钻-米奇组件】,九尾熊米兰专卖店,21,59.00
Apple苹果iPhone 11手机【白条24期免息可选】 紫色 256GB【白条12期免息】,微炫数码旗舰店,3000+,6999.00
维蒂索 iPhone12手机壳宇航员苹果12pro max软硅胶保护套镜头全包可爱卡通时尚情侣款 苹果promax【黑色气球宇航员】,维蒂索旗舰店,15,68.00
"京东超市
【三代降噪顶配版】君盈Air苹果真无线蓝牙耳机单双耳运动半入耳式华强北安卓华为pro 【升级主动降噪】改名定位+入耳检测+秒弹窗+无线充",君盈京东自营旗舰店,2万+,158.00
苹果（Apple）iPhone 12 Pro Max (A2412) 128GB 金色 全网通5G 双卡双待手机,联通京东自营旗舰店,5,9299.00
魔岩 苹果12手机壳iPhone12ProMax真皮12Mini全包保护套防摔高档商务男女外壳 苹果ProMax【优雅黑】【头层牛皮】,中融国汇手机配件专营店,100+,328.00
【24期免息】Apple 苹果 iPhone 12 Pro 5G手机 海蓝色 全网通 256GB+无忧卡 2年电池换新+1年延保,佳沪电商旗舰店,100+,10499.00
VOKAMO苹果MFI认证PD快充线iPhone12套装1.2米加长编织数据线iPhone12充电线 1.2M【银色】苹果MFI认证PD快充线,VOKAMO旗舰店,92,124.00
Apple 苹果 iPhone 12 Pro Max 5G手机（现货速发 12期免息可选） 海蓝色 256G 期免息,OKSJ手机旗舰店,900+,11299.00
Apple苹果原装15W无线充电器MagSafe磁吸充电头iPhone12pro max/11/XS 15W MagSafe 无线充电器,百品淘官方旗舰店,19,299.00
苹果（Apple）iPhone 12 (A2404) 256GB 白色 全网通5G 双卡双待手机,联通京东自营旗舰店,0,7599.00
丁科 冬季毛绒绒刺绣11/12Pro/Max/mini苹果X/XS/XR/SE手机壳iPhone7p iPhone 11 毛绒紫色 怪怪表情,丁科米兰专卖店,51,38.00
Anker安克MFi认证苹果数据线通用手机快充USB充电器线iPhone12/11/SE2/XR手机 白色 0.9米,Anker旗舰店,2000+,44.90
Apple 苹果 iPhone 12mini 全网通5G小屏单卡手机 白色 64GB,贵州移动京东自营旗舰店,3,5499.00
Apple苹果原装 MagSafe 双项充电器 iPhone12ProMax无线冲 手机手表磁吸快充 MagSafe 双项充电器,锦绣河山专营店,4,1029.00
Apple苹果 12/iPhone 12 5G手机 白色 128G,华信通手机专营店,63,6749.00
Apple苹果iPhone 12 5G全网通双卡手机 绿色 128GB,四川移动京东自营旗舰店,94,6799.00
名界适用于苹果12手机壳iPhone12 promax保护套5G金属玻璃12mini直边镜全包防摔壳 Promax【透明金】,名界旗舰店,63,198.00
HYPER【官网Magsafe磁吸壳】液态硅胶手机壳适用iPhone12/ProMax/12mini 午夜蓝【Magsafe磁吸】液态硅胶 I 加厚款 Pro Max,HYPER旗舰店,300+,98.00
Apple iPhone 12 mini (A2400) 64GB 黑色 手机 支持移动联通电信5G,中国移动官方旗舰店,1000+,5499.00
优内特 苹果12/11手机壳iPhone 12 Promax新年红色富贵全包镜头硅胶防摔pro保护套 11富贵红【肌肤手感赠流苏】第二件半折,优内特旗舰店,14,48.00
Apple iPhone 12 (A2404)5G新品 支持移动联通电信5G 双卡双待手机 蓝色 128GB【6期免息】,Apple美承onezero专卖店,2000+,6799.00
苹果（Apple）iPhone 12 (A2404) 64GB 绿色 全网通5G 双卡双待手机,联通京东自营旗舰店,0,6299.00
瑞丰浩 苹果12液态硅胶手机壳 新款iphone12promax防摔保护套12mini全包磨砂手机套 白色 pro max,瑞丰浩数码专营店,100+,68.00
【可选24期白条免息】Apple 苹果 iPhone 12 Pro（A2408）全网通5G 手机 海蓝色 128G 24期白条免息 搭配 1年延保,京东之家官方旗舰店,41,10329.00
【128G低至4999元】Apple 苹果 iPhone 11 （新包装）手机全网通 白色 128GB,中国移动手机官方旗舰店,3万+,5049.00
九尾熊小怪兽苹果11手机壳iPhone12镜头全包防摔透明磨砂12Promax保护套变十二mini卡 【苹果promax】奶奶灰色侧边怪兽图案,九尾熊米兰专卖店,5,45.00
Apple iPhone 12 (A2404) 128GB 红色 支持移动联通电信5G 双卡双待手机,中国电信自营旗舰店,300+,6799.00
Apple#iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机,中国电信自营旗舰店,0,6299.00
Apple苹果原装充电器PD20W快充头手机充电头iphone12promax/11数据线充电线套装 20W充电头 白色【单头不含线】,百品淘官方旗舰店,200+,135.00
宏邦 苹果12pro max手机壳 女款iPhone12 mini镶钻网红高档防摔软壳 苹果Promax,宏邦旗舰店,17,68.00
Apple iPhone 12 mini (A2400) 128GB 白色 手机 支持移动联通电信5G,中国联通京东自营旗舰店,71,5999.00
Apple 苹果 iPhone 12mini 全网通5G小屏单卡手机 黑色 128GB,四川电信京东自营旗舰店,23,5999.00
正尼适用于苹果12手机壳11Pro/Max流沙SE2女mini表情包苹果X透明iPhone12Pro 12/12Pro(6.1英寸)流沙金箔,哲迈手机配件专营店,11,45.00
Apple iPhone 12 Pro (A2408) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,重庆电信京东自营旗舰店,4,8499.00
Apple iPhone 12 (A2404) 64GB 蓝色 支持移动联通电信5G 双卡双待手机,陕西电信京东自营旗舰店,11,6299.00
正尼ins绿色笑脸适用iphone12promax苹果11手机壳xs/xr刺绣8p7p女mini 苹果12 四宫格刺绣笑脸,正尼米兰专卖店,9,45.00
Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待手机,广东联通京东自营旗舰店,18,6799.00
Apple iPhone 12 Pro (A2408) 256GB 金色 支持移动联通电信5G 双卡双待手机,重庆联通京东自营旗舰店,28,9299.00
Mophie充电器套装20w墙充USB-C快充PD数据线iPhone12手机充电插头苹果promax 20w墙充+数据线套装,mophie旗舰店,100+,218.00
正尼苹果12手机壳iPhone11 promax创意文字xsmax全包摄像头ins风网红同款mini 苹果 Pro Max 粉紫色NICE！,哲迈手机配件专营店,14,45.00
Apple iPhone 12 Pro Max 支持移动联通电信5G 双卡双待手机 石墨色 256GB【12期免息】,Apple美承onezero专卖店,600+,10735.00
【可选12期免息】Apple 苹果 iPhone 12 Pro Max 5G手机 海蓝色 全网通 256GB（白条期免息）,鹏瑶旗舰店,600+,10899.00
正尼卡通史努比iphone12pro手机壳苹果11可爱xs全包7p镜头8plus硅胶xr防摔x软壳m 苹果 排队小朋友,正尼芊菲凡专卖店,10,45.00
Apple iPhone 12 mini (A2400) 128GB 白色 手机 支持移动联通电信5G,广东联通京东自营旗舰店,5,5999.00
"京东国际
Apple iPhone12 （美版有锁）移动联通电信单卡5G手机 IPHONE12苹果 黑色 128GB美版移动电信有锁",XINKE海外专营店,1000+,5999.00
Apple iPhone 12 (A2404) 128GB 红色 支持移动联通电信5G 双卡双待手机,北京电信京东自营旗舰店,93,6799.00
正尼适用于苹果12手机壳iPhone12pro保护套国潮红色十二ipone古中国风max半透明磨砂i 【苹果】中国红-如意半透明磨砂壳,正尼芊菲凡专卖店,12,45.00
Apple 苹果 iPhone 12 mini 5G手机 黑色 全网通128GB,鹏瑶旗舰店,42,5669.00
丁科全包苹果12手机壳潮牌12pro女新款iphone12硅胶12promax腕带支架mini防摔1 苹果ProMax【暗红色】腕带支架,丁科米兰专卖店,15,65.00
Apple 苹果 iPhone 12mini 全网通5G小屏单卡手机 白色 64GB,重庆联通京东自营旗舰店,18,5499.00
Apple 苹果 iPhone XR 手机 红色 全网通 128GB【老包装】,佳沪电商旗舰店,4万+,4359.00
xoomz苹果12pro max真皮手机壳mini时尚防摔iphone11保护套翻盖磁吸纤薄商务男女 6.7英寸苹果pro max翻盖曲面复古黑色,勒格具数码专营店,100+,148.00
Apple苹果iPhone 12 5G全网通双卡手机 绿色 128GB,四川电信京东自营旗舰店,26,6799.00
Apple iPhone 12 mini (A2400) 128GB 黑色 手机 支持移动联通电信5G,陕西电信京东自营旗舰店,16,5999.00
洛克（ROCK) 苹果12手机壳iPhone12mini/Pro Max保护套防摔液态硅胶壳男女款 苹果12/12Pro【6.1英寸】优雅蓝,ROCK旗舰店,100+,49.00
Apple iPhone 12 Pro (A2408) 256GB 石墨色 支持移动联通电信5G 双卡双待手机,中国联通京东自营旗舰店,100+,9299.00
Apple苹果原装充电器充电头5w手机插头iphone11ProMax/8p/XR/X/12适配器 电源适配器(单头不含线),京迈数码配件专营店,31,139.00
【直播间领券立减】Apple 苹果 iphone 12mini 手机 蓝色 128GB,疆界互联旗舰店,200+,5619.00
"拍拍
【二手99新】Apple iPhone 12 苹果12 全网通5G版 双卡双待二手手机 蓝色（赠20W PD快充） 256G 全网通",华语二手商品专营店,4,6889.00
Apple 苹果 iPhone xr 手机 双卡双待 黑色 全网通 64G【新包装】,鹏瑶旗舰店,5000+,3999.00
Apple iPhone 12 (A2404) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,广州电信京东自营旗舰店,57,6799.00
